description	ground truth	output
The molecule is a quinolinemonocarboxylate that is the conjugate base of xanthurenic acid, obtained by deprotonation of the carboxy group. It has a role as an animal metabolite. It is a conjugate base of a xanthurenic acid.	C1=CC2=C(C(=C1)[O-])NC(=CC2=O)C(=O)O	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)C(=O)[O-]
The molecule is a 3beta-hydroxy-4,4-dimethylsteroid that is that is cholestan-3beta-ol in which the hydrogens at position 4 have been replaced by methyl groups and a double bond has been introduced between positions 8 and 14.	C[C@H](CCCC(C)C)[C@H]1CCC2=C3CCC4[C@@]([C@H]3CC[C@]12C)(CC[C@@H](C4(C)C)O)C	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C
The molecule is an ascarosyloxycarboxylic acid beta-D-glucopyranosyl ester resulting from the formal esterification of the carboxy group of ascr#24 with the anomeric hydroxy group of beta-D-glucopyranose. It is a metabolite of the nematode Caenorhabditis elegans. It has a role as a Caenorhabditis elegans metabolite. It is an (omega-1)-hydroxy fatty acid ascaroside and an ascarosyloxycarboxylic acid beta-D-glucopyranosyl ester. It derives from an ascr#24.	C[C@H]1[C@@H](C[C@H]([C@@H](O1)O[C@H](C)CCCCCCCCCCCC(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O	C[C@H]1[C@@H](C[C@H]([C@@H](O1)O[C@H](C)CCCCCCCCCCCCC(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O
The molecule is an L-lysine derivative in which one of the amino hydrogens at N(6)-amino is substituted by a 6-[(2S)-2-amino-2-carboxyethyl]-3,4-dioxocyclohexa-1,5-dien-1-yl group. It is a L-lysine derivative, a L-tyrosine derivative, a non-proteinogenic L-alpha-amino acid and a member of 1,2-benzoquinones.	C1=C(C(=CC(=O)C1=O)NCCCC[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N	C1=CC(=O)C(=O)C=C1C[C@@H](C(=O)O)NCCCCC(C(=O)O)N
The molecule is an aromatic ether in which the oxygen is attached to two phenyl substituents. It has been found in muscat grapes and vanilla. It has a role as a plant metabolite.	C1=CC=C(C=C1)OC2=CC=CC=C2	C1=CC=C(C=C1)OC2=CC=CC=C2
The molecule is an acyl tetraketide pyran-2-one that is 4-hydroxy-2H-pyran-2-one in which the hydrogen at position 6 is replaced by a 13-methyl-2-oxononadecyl group.	CCCCCCC(C)CCCCCCCCCCC(=O)CC1=CC(=CC(=O)O1)O	CC(C)CCCCCCCCCCCCC(=O)CC1=CC(=CC(=O)O1)O
The molecule is a member of the class of pyrazoles that is 1H-pyrazole that is substituted at positions 1, 3, 4, and 5 by 2,6-dichloro-4-(trifluoromethyl)phenyl, cyano, (trifluoromethyl)sulfanyl, and amino groups, respectively. It is a metabolite of the agrochemical fipronil. It has a role as a marine xenobiotic metabolite. It is a member of pyrazoles, a dichlorobenzene, a member of (trifluoromethyl)benzenes, an organic sulfide and a nitrile.	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)SC(F)(F)F)N)Cl)C(F)(F)F	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)SCC(F)(F)F)N)Cl)C(F)(F)F
The molecule is trianion of 2-amino-3-oxo-4-(phosphonooxy)butanoic acid arising from deprotonation of carboxylic acid and phosphate functions; major species at pH 7.3. It is an organophosphate oxoanion and a monocarboxylic acid anion. It is a conjugate base of a 2-amino-3-oxo-4-(phosphonooxy)butanoic acid.	C(C(=O)C(C(=O)[O-])N)OP(=O)([O-])[O-]	C(C(=O)C(=O)[O-])OP(=O)([O-])[O-]
The molecule is a trihydroxyflavanone that is (2S)-5,7,2'-trihydroxyflavanone substituted by prenyl groups at positions 8 and 3'. Isolated from Dalea boliviana, it exhibits inhibitory activity against tyrosinase. It has a role as an EC 1.14.18.1 (tyrosinase) inhibitor and a plant metabolite.	CC(=CCC1=C(C(=CC=C1)[C@@H]2CC(=O)C3=C(C=C(C(=C3O2)CC=C(C)C)O)O)O)C	CC(=CCC1=C(C(=CC=C1)[C@@H]2CC(=O)C3=C(O2)C(=C(C=C3)O)CC=C(C)C)O)C
The molecule is a quaternary ammonium ion resulting from the methylation of the amino group of (S)-canadine in which the hydrogen at position 1 and the pro-S hydrogen at position 13 have been replaced by hydroxy groups. It derives from a (S)-canadine.	C[N+]12CCC3=CC4=C(C(=C3[C@@H]1[C@H](C5=C(C2)C(=C(C=C5)OC)OC)O)O)OCO4	C[N+]12CCC3=CC(=C(C=C3[C@@H]1CC4=C(C2)C(=C(C=C4)OC)O)O)OC
